ID	D1	D2
C1S1O1	0.05896	0.1562
C1S1O2	0.06569	0.1562
C1S1O3	0.07579	0.1562
C1S1O4	0.08589	0.14609
C1S1O5	0.07242	0.15956
C1S1O6	0.05559	0.15956
C1S1O7	0.07579	0.15956
C1S1O8	0.08253	0.15283
C1S1O9	0.08589	0.12926
C1S1O10	0.08926	0.13936
C1S1O11	0.09599	0.12589
C1S1O12	0.09263	0.11916
C1S1O13	0.08926	0.11579
C1S1O14	0.07242	0.10906
C1S1O15	0.06232	0.10906
C1S1O16	0.07916	0.10906
C1S1O17	0.08926	0.12253
C1S1O18	0.09263	0.13599
C1S1O19	0.09263	0.14946
C1S1O20	0.08253	0.15956
C1S1O21	0.06232	0.1663
C1S1O22	0.05559	0.16293
C1S1O23	0.06906	0.16293
C1S1O24	0.07579	0.16293
C1S1O25	0.08926	0.15283
C1S1O26	0.08926	0.13599
C1S1O27	0.08926	0.11916
C1S1O28	0.07579	0.11579
C1S1O29	0.06906	0.10906
C1S1O30	0.06232	0.10906
C1S1O31	0.07242	0.10569
C1S1O32	0.08253	0.11916
C1S1O33	0.06232	0.10569
C1S1O34	0.08589	0.11579
C1S1O35	0.06232	0.11579
C1S1O36	0.05559	0.12253
C1S1O37	0.04549	0.12589
C1S1O38	0.04886	0.11916
C1S1O39	0.05222	0.11579
C1S1O40	0.06232	0.11242
C1S1O41	0.09263	0.13263
C1S1O42	0.09599	0.14273
C1S1O43	0.08589	0.1562
C1S1O44	0.08589	0.1663
C1S1O45	0.06569	0.17303
C1S1O46	0.05896	0.16966
C1S1O47	0.07242	0.16966
C1S1O48	0.08253	0.16966
C1S1O49	0.08589	0.16293
C1S1O50	0.09263	0.15956
C1S1O51	0.09263	0.14609
C1S1O52	0.09263	0.12589
C1S1O53	0.09936	0.13936
C1S1O54	0.09599	0.14946
C1S1O55	0.05559	0.10906
C1S1O56	0.05559	0.11579
C1S1O57	0.06569	0.11916
C1S1O58	0.09599	0.13263
C1S1O59	0.09936	0.15283
C1S1O60	0.09263	0.16293
C1S1O61	0.09936	0.14609
C1S1O62	0.06906	0.11579
C1S1O63	0.09936	0.12926
C1S1O64	0.10273	0.13936
C1S1O65	0.10273	0.14609
C1S1O66	0.10273	0.14946
C1S1O67	0.09936	0.15956
C1S1O68	0.10273	0.13263
C1S1O69	0.07916	0.10906
C1S1O70	0.07579	0.11242
C1S1O71	0.08589	0.11242
C1S1O72	0.09599	0.11579
C1S1O73	0.09599	0.11916
C1S1O74	0.10273	0.12589
C1S1O75	0.10273	0.13263
C1S1O76	0.09936	0.12253
C1S1O77	0.09263	0.11242
C1S1O78	0.08589	0.10906
C1S1O79	0.07916	0.10569
C1S2O80	0.05222	0.14273
C1S2O81	0.04886	0.14946
C1S2O82	0.04212	0.15956
C1S2O83	0.03875	0.16293
C1S2O84	0.04549	0.14273
C1S2O85	0.04549	0.15283
C1S2O86	0.04212	0.1562
C1S2O87	0.03875	0.15956
C1S2O88	0.03875	0.17303
C1S2O89	0.03875	0.1764
C1S2O90	0.04212	0.18313
C1S2O91	0.04886	0.18987
C1S2O92	0.05896	0.19323
C1S2O93	0.07579	0.19323
C1S2O94	0.09599	0.19323
C1S2O95	0.10273	0.1865
C1S2O96	0.10946	0.17976
C1S2O97	0.11283	0.17303
C1S2O98	0.1162	0.1663
C1S2O99	0.12293	0.1562
C1S2O100	0.12293	0.14273
C1S2O101	0.11956	0.12926
C1S2O102	0.11283	0.11916
C1S2O103	0.10273	0.10569
C1S2O104	0.08926	0.09896
C1S2O105	0.09599	0.10232
C1S2O106	0.10273	0.10906
C1S2O107	0.10946	0.11242
C1S2O108	0.1162	0.12589
C1S2O109	0.12293	0.13599
C1S2O110	0.12293	0.14273
C1S2O111	0.12293	0.14946
C1S2O112	0.12293	0.15956
C1S2O113	0.1162	0.17303
C1S2O114	0.10946	0.18313
C1S2O115	0.10609	0.18987
C1S2O116	0.09599	0.19323
C1S2O117	0.08253	0.1966
C1S2O118	0.07916	0.1966
C1S2O119	0.07242	0.1966
C1S2O120	0.06569	0.1966
C1S2O121	0.05559	0.1966
C1S2O122	0.04549	0.18987
C1S2O123	0.04212	0.1865
C1S2O124	0.03875	0.17976
C1S2O125	0.03875	0.1764
C1S2O126	0.03539	0.16966
C1S2O127	0.04549	0.14946
C1S2O128	0.04212	0.14946
C1S2O129	0.03539	0.15956
C1S2O130	0.03202	0.16966
C1S2O131	0.03875	0.15283
C1S2O132	0.03202	0.1562
C1S2O133	0.02865	0.16293
C1S2O134	0.03202	0.16293
C1S2O135	0.03539	0.14609
C1S2O136	0.03539	0.15283
C1S2O137	0.03202	0.1764
C1S2O138	0.03202	0.18313
C1S2O139	0.03875	0.1966
C1S2O140	0.03539	0.1865
C1S2O141	0.03875	0.19323
C1S2O142	0.03875	0.1865
C1S2O143	0.03539	0.18313
C1S2O144	0.04212	0.19997
C1S2O145	0.04549	0.19997
C1S2O146	0.05222	0.19997
C1S2O147	0.04886	0.1966
C1S2O148	0.04212	0.19323
C1S2O149	0.06569	0.19997
C1S2O150	0.05559	0.20333
C1S2O151	0.05222	0.20333
C1S2O152	0.06569	0.2067
C1S2O153	0.07579	0.2067
C1S2O154	0.08926	0.20333
C1S2O155	0.07916	0.20333
C1S2O156	0.07579	0.20333
C1S2O157	0.06232	0.20333
C1S2O158	0.09263	0.20333
C1S2O159	0.10273	0.1966
C1S2O160	0.09599	0.19323
C1S2O161	0.09263	0.19323
C1S2O162	0.08253	0.19323
C1S2O163	0.08926	0.19997
C1S2O164	0.09263	0.19997
C1S2O165	0.09599	0.1966
C1S2O166	0.10273	0.1966
C1S2O167	0.07242	0.19997
C1S2O168	0.08589	0.20333
C1S2O169	0.10946	0.20333
C1S2O170	0.1162	0.1966
C1S2O171	0.12293	0.1865
C1S2O172	0.1263	0.1764
C1S2O173	0.12966	0.16966
